cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,class
convex,smooth,white,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,edible
convex,smooth,white,no,none,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,abundant,edible
flat,smooth,gray,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,abundant,edible
flat,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,scattered,edible
convex,fibrous,brown,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,scattered,edible
flat,smooth,brown,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,edible
flat,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,abundant,edible
convex,fibrous,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,edible
flat,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,abundant,edible
flat,fibrous,brown,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,edible
convex,scaly,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,edible
convex,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,abundant,edible
convex,smooth,gray,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,scattered,edible
flat,smooth,white,no,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,abundant,edible
convex,smooth,white,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,poisonous
convex,smooth,white,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,edible
convex,fibrous,brown,bruises,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,brown,several,edible
flat,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,scattered,edible
convex,smooth,gray,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,edible
flat,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,edible
flat,smooth,brown,no,none,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,scattered,edible
convex,smooth,gray,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,scattered,edible
flat,scaly,brown,bruises,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,scattered,edible
flat,scaly,brown,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,poisonous
convex,smooth,brown,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,scattered,edible
convex,fibrous,brown,bruises,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,several,edible
flat,scaly,white,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,poisonous
convex,smooth,white,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,poisonous
flat,smooth,brown,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,poisonous
convex,fibrous,brown,bruises,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,solitary,edible
bell,scaly,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,edible
flat,scaly,white,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,poisonous
flat,fibrous,white,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,edible
convex,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,edible
convex,fibrous,brown,bruises,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,solitary,edible
convex,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,abundant,edible
flat,fibrous,brown,no,none,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,scattered,edible
flat,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,scattered,edible
flat,scaly,brown,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,poisonous
flat,scaly,white,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,poisonous
convex,smooth,brown,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,edible
flat,fibrous,gray,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,scattered,edible
convex,fibrous,brown,bruises,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,black,several,edible
flat,smooth,gray,no,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,edible
flat,fibrous,brown,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,abundant,edible
flat,smooth,brown,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,poisonous
convex,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,abundant,edible
flat,scaly,brown,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,poisonous
convex,smooth,gray,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,edible
flat,fibrous,white,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,scattered,edible
convex,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,edible
convex,fibrous,brown,bruises,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,solitary,edible
convex,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,edible
flat,smooth,white,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,poisonous
convex,fibrous,brown,bruises,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,brown,several,edible
convex,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,scattered,edible
flat,smooth,white,no,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,edible
convex,smooth,white,bruises,almond,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,purple,several,edible
convex,fibrous,brown,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,scattered,edible
convex,scaly,gray,bruises,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,several,edible
convex,fibrous,brown,bruises,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,solitary,edible
convex,smooth,yellow,bruises,almond,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,purple,several,edible
flat,fibrous,gray,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,abundant,edible
convex,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,scattered,edible
convex,scaly,red,bruises,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,brown,solitary,edible
flat,smooth,gray,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,edible
flat,smooth,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,poisonous
flat,fibrous,white,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,scattered,edible
convex,fibrous,gray,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,edible
flat,fibrous,brown,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,scattered,edible
flat,smooth,brown,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,edible
convex,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,abundant,edible
flat,scaly,white,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,poisonous
convex,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,edible
flat,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,abundant,edible
convex,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,edible
convex,fibrous,gray,no,none,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,scattered,edible
convex,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,abundant,edible
flat,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,solitary,edible
convex,scaly,brown,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,poisonous
convex,fibrous,white,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,edible
flat,smooth,white,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,scattered,edible
convex,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,scattered,edible
flat,scaly,brown,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,poisonous
flat,fibrous,gray,no,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,edible
flat,smooth,white,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,poisonous
flat,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,edible
convex,smooth,gray,no,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,edible
convex,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,abundant,edible
flat,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,scattered,edible
flat,smooth,gray,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,scattered,edible
convex,smooth,white,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,scattered,edible
convex,fibrous,brown,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,edible
convex,fibrous,gray,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,edible
flat,fibrous,brown,no,none,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,edible
bell,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,edible
flat,fibrous,gray,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,scattered,edible
convex,fibrous,gray,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,abundant,edible
flat,fibrous,white,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,abundant,edible
convex,fibrous,brown,bruises,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,solitary,edible
flat,smooth,brown,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,poisonous
convex,fibrous,brown,bruises,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,brown,solitary,edible
convex,fibrous,brown,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,abundant,edible
convex,fibrous,brown,bruises,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,black,solitary,edible
convex,fibrous,white,no,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,abundant,edible
flat,smooth,gray,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,scattered,edible
flat,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,abundant,edible
convex,scaly,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,edible
convex,fibrous,white,bruises,almond,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,purple,several,edible
flat,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,abundant,edible
flat,fibrous,brown,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,edible
flat,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,scattered,edible
bell,scaly,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,edible
convex,fibrous,brown,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,scattered,edible
convex,scaly,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,edible
flat,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,edible
convex,smooth,white,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,edible
convex,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,scattered,edible
convex,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,edible
convex,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,scattered,edible
convex,scaly,brown,bruises,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,edible
flat,smooth,gray,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,scattered,edible
convex,scaly,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,edible
convex,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,edible
flat,scaly,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,poisonous
flat,smooth,white,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,scattered,edible
flat,smooth,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,poisonous
flat,smooth,gray,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,scattered,edible
flat,fibrous,gray,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,scattered,edible
convex,smooth,white,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,poisonous
convex,smooth,gray,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,edible
convex,smooth,white,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,poisonous
convex,smooth,gray,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,scattered,edible
flat,smooth,white,no,none,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,scattered,edible
flat,scaly,white,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,poisonous
convex,fibrous,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,abundant,edible
convex,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,abundant,edible
convex,fibrous,white,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,scattered,edible
convex,fibrous,white,no,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,abundant,edible
convex,scaly,red,bruises,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,solitary,edible
flat,smooth,brown,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,poisonous
flat,fibrous,gray,no,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,edible
convex,scaly,yellow,bruises,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,solitary,edible
convex,fibrous,brown,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,edible
flat,fibrous,brown,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,edible
bell,smooth,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,edible
flat,smooth,gray,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,edible
flat,fibrous,white,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,edible
flat,fibrous,brown,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,edible
flat,smooth,brown,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,poisonous
convex,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,edible
bell,scaly,yellow,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,edible
flat,smooth,gray,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,edible
flat,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,edible
convex,fibrous,gray,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,abundant,edible
flat,smooth,gray,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,edible
convex,fibrous,brown,no,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,abundant,edible
convex,fibrous,brown,bruises,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,brown,several,edible
bell,scaly,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,edible
convex,fibrous,gray,bruises,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,brown,several,edible
flat,scaly,brown,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,poisonous
convex,smooth,white,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,edible
flat,smooth,brown,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,poisonous
flat,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,edible
flat,fibrous,brown,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,edible
convex,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,edible
convex,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,abundant,edible
flat,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,scattered,edible
convex,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,edible
flat,smooth,white,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,edible
convex,smooth,white,no,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,edible
convex,scaly,brown,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,poisonous
flat,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,edible
flat,scaly,brown,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,poisonous
flat,fibrous,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,abundant,edible
convex,fibrous,brown,bruises,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,black,several,edible
convex,fibrous,gray,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,edible
flat,smooth,brown,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,poisonous
flat,smooth,gray,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,edible
convex,smooth,white,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,poisonous
convex,fibrous,brown,bruises,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,several,edible
convex,fibrous,brown,no,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,edible
convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,scattered,edible
flat,fibrous,white,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,scattered,edible
flat,smooth,white,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,edible
convex,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,edible
flat,fibrous,gray,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,scattered,edible
flat,fibrous,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,edible
convex,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,scattered,edible
flat,fibrous,gray,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,abundant,edible
convex,fibrous,gray,bruises,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,edible
convex,smooth,gray,no,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,abundant,edible
flat,smooth,gray,no,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,edible
convex,scaly,brown,bruises,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,scattered,edible
convex,scaly,gray,bruises,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,black,solitary,edible
flat,smooth,gray,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,edible
flat,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,scattered,edible
flat,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,abundant,edible
flat,fibrous,white,no,none,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,scattered,edible
flat,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,edible
flat,smooth,gray,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,abundant,edible
convex,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,scattered,edible
convex,fibrous,brown,bruises,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,edible
